Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
221,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Michele Clark Academic Prep Magnet High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,41051 Michele Clark Academic Prep Magnet High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
222,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Chicago Vocational Career Academy High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,53011 Chicago Vocational Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
223,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Marie Sklodowska Curie Metropolitan High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,53101 Marie Sklodowska Curie Metropolitan High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
224,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Frederick A Douglass Academy High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,41061 Frederick A Douglass Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
225,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Paul Laurence Dunbar Career Academy High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,53021 Paul Laurence Dunbar Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
226,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to William Rainey Harper High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,46151 William Rainey Harper High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
227,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Hyde Park Academy High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,46171 Hyde Park Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
228,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Percy L Julian High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,46401 Percy L Julian High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
229,19-0925-EX1,Transfer from Network Support to Network Support,Funds needed to process reimbursements,11110 Network Support,115 General Education Fund,54125 Services - Professional/Administrative,221080 Aio - Improvement Of Instruction,000000 Default Value,11110 Network Support,115 General Education Fund,54215 Car Fare,221080 Aio - Improvement Of Instruction,000000 Default Value,"$2,000",,
230,19-0925-EX1,Transfer from Network Support to Network Support,Funds for supplies during SY20,11110 Network Support,115 General Education Fund,54125 Services - Professional/Administrative,221080 Aio - Improvement Of Instruction,000000 Default Value,11110 Network Support,115 General Education Fund,53405 Commodities - Supplies,221080 Aio - Improvement Of Instruction,000000 Default Value,"$2,000",,
231,19-0925-EX1,Transfer from Capital/Operations - City Wide to Lyman A Budlong Elementary School,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-22391-OEI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,22391 Lyman A Budlong Elementary School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$2,000",,
232,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to St Ailbe,Transfer funds to process approved purchase order requests for Nonpublic Schools Title I programs,12625 Grant Funded Programs Office - City Wide,332 NCLB Title I Regular Fund,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,430219 Nonpublic Inst. & Supp. Serv. - Catholic,69029 St Ailbe,332 NCLB Title I Regular Fund,54125 Services - Professional/Administrative,390007 Nonpublic Community Parent Involvement,430219 Nonpublic Inst. & Supp. Serv. - Catholic,"$2,000",,
233,19-0925-EX1,Transfer from Education General - City Wide to Office of Student Health & Wellness,Transfer funding to Office of Student Health & Wellness for Healthy Chicago Public Schools-YRBS 262006 FY20.,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",54205 Travel Expense,221077 Cdc Hiv Prevention Pd,580216 Healthy Chicago Public Schools-Yrbs 262006 Fy20,"$2,000",,
234,19-0925-EX1,"Transfer from Sports Administration and Facilities Management - City Wide to Sports Administration and Facilities Management - City
Wide",Project sWish,"13737 Sports Administration and Facilities Management - City
Wide",124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,150005 High School Sports,000867 Sports Administration Revenue,"13737 Sports Administration and Facilities Management - City
Wide",124 School Special Income Fund,53405 Commodities - Supplies,150005 High School Sports,000867 Sports Administration Revenue,"$2,000",,
235,19-0925-EX1,Transfer from Counseling and Postsecondary Advising to North-Grand High School,Award for receiving RAMP status,10850 Counseling and Postsecondary Advising,115 General Education Fund,53405 Commodities - Supplies,212013 Counseling & Guidance Services,000000 Default Value,46431 North-Grand High School,115 General Education Fund,53405 Commodities - Supplies,212041 Guidance,000901 Other Gen Ed Funded Programs,"$2,000",,
236,19-0925-EX1,Transfer from Pre-K - 12 Curriculum to Arts,Transfer of funds to correct funding source of position numbers 598504 and 598570,10814 Pre-K - 12 Curriculum,115 General Education Fund,52100 Career Service Salaries - Regular,419001 Payroll Salvage,000000 Default Value,10890 Arts,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$2,000",,
237,19-0925-EX1,Transfer from Network 14 to Stephen T Mather High School,Teacher Professional Development.,02641 Network 14,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,46241 Stephen T Mather High School,115 General Education Fund,54205 Travel Expense,221234 Professional Develop/Curriculum Develp,000000 Default Value,"$2,000",,
238,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Percy L Julian High School,"Re-entry School Funds Title I Delinquent Grant-Admission and Other Costs beside transportation associated with Enrichment
Activities",10875 Citywide Student Support and Engagement,334 NCLB Title 1 - Neglected & Delinquent,57940 Miscellaneous Charges,125008 430626,,46401 Percy L Julian High School,334 NCLB Title 1 - Neglected & Delinquent,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",211001 Attendance & Social Work,430626 Delinquent Program Fy20,"$2,000","Title I - Neglected & Delinquent Programs
Delinquent Program Fy20",
239,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,Transfer for Adult PO,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442195 21st Century Community Learning Centers (Cohort
19-Grant 3) Fy20",10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,390008 Other Government Funded - Community Services,"442195 21st Century Community Learning Centers (Cohort
19-Grant 3) Fy20","$2,000",,
240,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Noble - The Noble Academy,Adjusting State bilingual charter allocation for Charter schools.,11540 Language & Cultural Education - City Wide,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,66578 Noble - The Noble Academy,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$2,037",,
241,19-0925-EX1,Transfer from Capital/Operations - City Wide to Lake View High School,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-46211-OFA ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,46211 Lake View High School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$2,093",,
242,19-0925-EX1,Transfer from Early College and Career - City Wide to Gurdon S Hubbard High School,Supplies for CTE Fundamentals of Information Technology program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46341 Gurdon S Hubbard High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140004 Cte - Business Systems,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$2,120",,
243,19-0925-EX1,Transfer from Early College and Career - City Wide to Benito Juarez Community Academy High School,Supplies for CTE Gaming program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46421 Benito Juarez Community Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140004 Cte - Business Systems,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$2,120",,
